ITALIANO,BRESCIANO,categoria,Bresciano_,Column1
"arpese (spranga in ferro per tenereinsieme le pietre negli edifici)",cambra,,cambra,6
arpioncino,poleghet,,poleghet,8
arpione,polech,,polech,6
arrabbiare,rabina,,rabina,6
arrabbiarsi,embilas,arcaico,embilas,7
arrabbiarsi,encapelas,,encapelas,9
arrabbiarsi,encasas,,encasas,7
arrabbiato,enversat,,enversat,8
arrabbiato,gnech,,gnech,5
arrabbiato,strezit,arcaico,strezit,7
arrabbiatura,enversadura,,enversadura,11
arraffare,rafa so,,rafa so,7
arraffare,regata,arcaico,regata,6
arraffatore,raspu,,raspu,5
arraffatore,ludro,,ludro,5
arrampicare,rampega,,rampega,7
arrampicata,rampada,,rampada,7
arrampicata,rampegada,,rampegada,9
arrestato,encispat,gergo-volgare,encispat,8
arresti,ares'cc,,ares'cc,7
arricciare,ransigna,,ransigna,8
arricciatura,resadura,,resadura,8
arrivare,luga,arcaico,luga,4
arrivare,ria,,ria,3
arrivato,riat,,riat,4
arrivederci,a riidis,,a riidis,8
arrossire,deenta ros,,deenta ros,10
arrostire,rosteser,,rosteser,8
arrostire,rostigna,,rostigna,8
arrostire,rusti,,rusti,5
arrostito,rostit,,rostit,6
arrostitore,rostidur,,rostidur,8
arrotino,moleta,,moleta,6
arrotolare,embirola,,embirola,8
arrotolare,embirola so,,embirola so,11
arrovellarsi,cua argot,,cua argot,9
arroventato,enfugat,,enfugat,7
arroventato,fughent,,fughent,7
arroventato,ros fughet,,ros fughet,10
arruffata,sparpajula,,sparpajula,10
arruffone,sanfu,,sanfu,5
ITALIANO,BRESCIANO,categoria,bresciano,9
arrugginito,rozenet,,rozenet,7
arso,ars,,ars,3
"artemisia, canapaccia",erba casotera,botanica,erba casotera,13
"artemisia, canapaccia",erbalegn,botanica,erbalegn,8
artigliato,raspat,,raspat,6
artiglio,sgrafa,,sgrafa,6
arzigogolo,argalif,,argalif,7
"arzinca (tenaglia lunga per lavorazionedel ferro rovente)",gavada,attrezzo,gavada,6
"ascarolo, rete",ascarol,pesce-pesca,ascarol,7
ascella,canela,anatomia,canela,6
ascella,sea,anatomia,sea,3
ascella,seja,arcaico,seja,4
ascensore,asensor,,asensor,7
ascesso,bignu,malattia/male,bignu,5
ascia del bottaio,sapa,attrezzo,sapa,4
ascia per carpentieri,sapeta,attrezzo,sapeta,6
asciugamano,pandema,arcaico,pandema,7
asciugamano,sugama,,sugama,6
asciugapennini,sugapini,,sugapini,8
asciugare,mota,arcaico,mota,4
asciugare,suga,,suga,4
asciutto,sot,,sot,3
ascoltare,da de met,,da de met,9
ascoltare,da sentur,,da sentur,9
